Sample number, Date/Time,Channel 1 (°C)
561,9/3/2020 17:18:2,40.74054
562,9/3/2020 17:18:3,40.75141
563,9/3/2020 17:18:4,40.78404
564,9/3/2020 17:18:5,40.81305
565,9/3/2020 17:18:6,40.84205
566,9/3/2020 17:18:7,40.88543
567,9/3/2020 17:18:8,40.90718
568,9/3/2020 17:18:9,40.93982
569,9/3/2020 17:18:10,40.96157
570,9/3/2020 17:18:11,40.97607
571,9/3/2020 17:18:12,41.00145
572,9/3/2020 17:18:13,41.01958
573,9/3/2020 17:18:14,41.05946
574,9/3/2020 17:18:15,41.08121
575,9/3/2020 17:18:16,41.11747
576,9/3/2020 17:18:17,41.14647
577,9/3/2020 17:18:18,41.1791
578,9/3/2020 17:18:19,41.21536
579,9/3/2020 17:18:20,41.24074
580,9/3/2020 17:18:21,41.27324
581,9/3/2020 17:18:22,41.30587
582,9/3/2020 17:18:23,41.34588
583,9/3/2020 17:18:24,41.3675
584,9/3/2020 17:18:25,41.40376
585,9/3/2020 17:18:26,41.43276
586,9/3/2020 17:18:27,41.45439
587,9/3/2020 17:18:28,41.49077
588,9/3/2020 17:18:29,41.50877
589,9/3/2020 17:18:30,41.54865
590,9/3/2020 17:18:31,41.57766
591,9/3/2020 17:18:32,41.60291
592,9/3/2020 17:18:33,41.63191
593,9/3/2020 17:18:34,41.67179
594,9/3/2020 17:18:35,41.70442
595,9/3/2020 17:18:36,41.73343
596,9/3/2020 17:18:37,41.76243
597,9/3/2020 17:18:38,41.78781
598,9/3/2020 17:18:39,41.81668
599,9/3/2020 17:18:40,41.83831
600,9/3/2020 17:18:41,41.87107
601,9/3/2020 17:18:42,41.89269
602,9/3/2020 17:18:43,41.93982
603,9/3/2020 17:18:44,41.96157
604,9/3/2020 17:18:45,41.98695
605,9/3/2020 17:18:46,42.02321
606,9/3/2020 17:18:47,42.03771
607,9/3/2020 17:18:48,42.07397
608,9/3/2020 17:18:49,42.10647
609,9/3/2020 17:18:50,42.1246
610,9/3/2020 17:18:51,42.1716
611,9/3/2020 17:18:52,42.18248
612,9/3/2020 17:18:53,42.22236
613,9/3/2020 17:18:54,42.24774
614,9/3/2020 17:18:55,42.28037
615,9/3/2020 17:18:56,42.30212
616,9/3/2020 17:18:57,42.3275
617,9/3/2020 17:18:58,42.34926
618,9/3/2020 17:18:59,42.38551
619,9/3/2020 17:19:0,42.41089
620,9/3/2020 17:19:1,42.43627
621,9/3/2020 17:19:2,42.46152
622,9/3/2020 17:19:3,42.49052
623,9/3/2020 17:19:4,42.51241
624,9/3/2020 17:19:5,42.52665
625,9/3/2020 17:19:6,42.56303
626,9/3/2020 17:19:7,42.58465
627,9/3/2020 17:19:8,42.61003
628,9/3/2020 17:19:9,42.64979
629,9/3/2020 17:19:10,42.67167
630,9/3/2020 17:19:11,42.69705
631,9/3/2020 17:19:12,42.7368
632,9/3/2020 17:19:13,42.76581
633,9/3/2020 17:19:14,42.79118
634,9/3/2020 17:19:15,42.82032
635,9/3/2020 17:19:16,42.85645
636,9/3/2020 17:19:17,42.88545
637,9/3/2020 17:19:18,42.91446
638,9/3/2020 17:19:19,42.92896
639,9/3/2020 17:19:20,42.96521
640,9/3/2020 17:19:21,43.00147
641,9/3/2020 17:19:22,43.02672
642,9/3/2020 17:19:23,43.05935
643,9/3/2020 17:19:24,43.08472
644,9/3/2020 17:19:25,43.10997
645,9/3/2020 17:19:26,43.14623
646,9/3/2020 17:19:27,43.17161
647,9/3/2020 17:19:28,43.19337
648,9/3/2020 17:19:29,43.22962
649,9/3/2020 17:19:30,43.25487
650,9/3/2020 17:19:31,43.28025
651,9/3/2020 17:19:32,43.302
652,9/3/2020 17:19:33,43.33088
653,9/3/2020 17:19:34,43.36364
654,9/3/2020 17:19:35,43.38889
655,9/3/2020 17:19:36,43.41789
656,9/3/2020 17:19:37,43.44677
657,9/3/2020 17:19:38,43.47577
658,9/3/2020 17:19:39,43.48302
659,9/3/2020 17:19:40,43.51915
660,9/3/2020 17:19:41,43.54815
661,9/3/2020 17:19:42,43.57353
662,9/3/2020 17:19:43,43.59166
663,9/3/2020 17:19:44,43.63141
